quote,Father,Mother,Wife,Husband,Boyfriend,Girlfriend,Son,Daughter,Grandfather,Grandmother,Friend,Boss,Best-Friend,Happy,Funny,Rhyming_Poem,Short_and_Simple,Heartfelt,Inspirational,Professional,wish_id
"Dad, your birthday calls for some hard truth: your dad jokes aren't getting better with age... they're getting worse! But don't worry, they provide excellent eye-rolling practice for the family! Happy birthday to my favorite joke-telling disaster!",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Mom, throughout my life, you've been the compass guiding me through every storm. Your wisdom has illuminated my darkest moments, your encouragement has lifted me when I've fallen, and your unconditional love has been my greatest blessing. Happy birthday to the heart of our family.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
"Wife dear with smile so bright, you fill our home with purest light. Your birthday brings a chance to say, you're cherished more with each new day. Happy wishes, warm and true, my heart belongs to only you!",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
"Husband, as you celebrate another year of life, I'm inspired by how you consistently transform challenges into opportunities for growth. Your resilience reminds us all that our greatest limitations are often self-imposed. May this birthday mark the beginning of a year filled with beautiful discoveries!",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
"Boyfriend, I would like to formally acknowledge your significant contributions to our relationship metrics and express appreciation for your strategic approach to mutual growth objectives. Your organizational efficiency continues to enhance our partnership productivity. Happy birthday.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
"Girlfriend, happy birthday! Remember when we tried that escape room and you solved all the puzzles while I just followed you around like a confused puppy? Your brain and beauty combo remains undefeated! Celebrating you today!",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6
"Son, happy birthday! May today bring you joy!",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,7
"Daughter, your journey through life continues to inspire everyone fortunate enough to know you. The grace with which you've navigated challenges and the compassion you extend to others reveal the extraordinary strength of your character. Happy birthday to a young woman whose light brightens the world!",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8
"Grandpa, your birthday gives me a chance to thank you for the countless ways your presence has enriched my life. The fishing trips where you taught patience, the stories that connected me to our family's past, the quiet moments of understanding when words weren't needed—these memories are treasures I carry in my heart.",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9
"Grandma sweet with gentle ways, you've brightened all my childhood days. Your birthday brings a chance to share, how much I love your tender care. Happy wishes, kind and true, no grandma's loved as much as you!",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10
"Friend, your strategic approach to personal development and career advancement demonstrates exceptional planning capabilities. Your analytical problem-solving and organizational efficiency continue to enhance your professional trajectory. Happy birthday.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,11
"Boss, happy birthday! I got you a present that perfectly matches your management style—it's invisible! Just kidding! But seriously, your knack for disappearing right before difficult client calls is truly impressive!",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,12
"Best friend, through every joy and every tear, you've been the constant I could trust. Your acceptance of my authentic self, your forgiveness when I've fallen short, your celebration of my smallest victories—these gifts have made life's journey infinitely richer. Happy birthday to my chosen family.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,13
"Dad, as you celebrate this special day, I'm inspired by the resilience you've shown throughout your life. The obstacles you've overcome with determination remind me that with perseverance and courage, any challenge can be transformed into an opportunity. Happy birthday to my greatest inspiration!",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14
"Mom, happy birthday! Wishing you all the best today!",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15
"Wife, I've calculated the exact number of times you've put up with my nonsense over the years, and mathematically speaking, you should have left me approximately 2,749 incidents ago! Your extraordinary tolerance deserves celebration! Happy birthday to the most patient woman alive!",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16
"Husband true with heart so kind, a better partner none could find. Your birthday brings a chance to say, you're cherished more with each new day. Happy wishes, warm and bright, you fill my world with purest light!",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17
"Boyfriend, your birthday gives me a chance to express how profoundly your love has transformed my life. The safety I feel in your presence, the joy your laughter brings to ordinary moments, the understanding in your eyes when words fail me—these gifts make every day with you precious.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18
"Girlfriend, I would like to formally acknowledge your exceptional interpersonal capabilities and strategic approach to relationship development. Your consistent communication metrics and problem-solving efficiency continue to enhance our mutual objectives. Happy birthday.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19
"Son who brightens every day, in your own special, shining way. Your birthday brings a chance to say, you're loved far more than words convey. Happy wishes, pure and true, my heart is always there for you!",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20
"Daughter, happy birthday! I've noticed that the older you get, the more my brilliant advice seems to transform into annoying lectures. It's fascinating how my wisdom decreases exactly in proportion to your age increasing!",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,21
"Grandpa, your structured approach to family leadership and resource management has established systems that continue to benefit multiple generations. Your strategic planning and organizational efficiency provide valuable guidance for our family's continued success. Happy birthday.",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,22
"Grandma, as you celebrate another year of life, I'm inspired by how you consistently face each new challenge with courage and grace. Your journey reminds me that age is never a limitation unless we allow it to be. Happy birthday to a woman whose spirit remains eternally young!",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,23
"Friend, your birthday reminds me of how blessed I am to have you in my life. The laughter we've shared during our adventures, the tears we've wiped away during hard times, the memories we've created that I'll cherish forever—these gifts have made my world immeasurably richer.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24
"Boss dear with vision clear, your leadership we all revere. Another year for us to say, you guide us in the finest way. Happy wishes, true and bright, your wisdom shines with guiding light!",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,25
"Best friend, your strategic approach to personal challenges and interpersonal relationships demonstrates exceptional analytical capabilities. Your consistent problem-solving efficiency and organizational skills continue to enhance your life trajectory. Happy birthday.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,26
"Dad, happy birthday! All the best to you today!",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,27
"Mom, I laugh every time I remember your attempt at using the family group chat! The accidental voice messages, the random emojis that make no sense, and your famous 'typing...' that lasts for 20 minutes only to result in 'ok'! Technology may not be your friend, but your efforts are hilarious! Happy birthday!",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28
"Wife, as you celebrate another trip around the sun, I'm inspired by the way you consistently transform challenges into opportunities for growth. Your resilience reminds me that our greatest limitations are often self-imposed. May this birthday mark the beginning of a year filled with beautiful discoveries!",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29
"Husband, your birthday gives me a chance to thank you for the countless ways your love has enriched my life. From morning coffee conversations to late-night problem-solving, from celebrating life's victories to navigating its storms—your presence has made every day more meaningful.",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30
"Boyfriend sweet with heart so rare, for you no one can compare. Your birthday brings a chance to say, I'm thankful for you every day. Happy wishes, warm and bright, you fill my world with purest light!",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31
"Girlfriend, I would like to express my professional admiration for your strategic approach to personal development and relationship management. Your consistent communication metrics and organizational efficiency continue to enhance our mutual objectives. Happy birthday.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32
"Son, your birthday reminds me of the incredible privilege it is to watch you grow. From first steps to driving lessons, from bedtime stories to life advice—each stage has brought new joys and deeper love. Happy birthday to the young man who makes my heart overflow with pride.",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,33
"Daughter, happy birthday! I got you a gift that perfectly matches your teenage enthusiasm for family activities—it's invisible! Just kidding! But seriously, your eye-rolling skills are truly Olympic-level these days!",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,34
"Grandpa, as you celebrate another trip around the sun, I'm inspired by how you continue to embrace new challenges with enthusiasm. Your journey reminds me that age is never a limitation unless we allow it to be. Happy birthday to the man whose spirit remains eternally young!",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35
"Grandma, your birthday gives me a chance to thank you for the countless ways your love has enriched my life. The cookies that always awaited me after school, the stories that connected me to our family's past, the unconditional acceptance that made your home my safe place—these gifts remain treasures in my heart.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,36
"Friend who lights up each day, in your own unique and special way. Your birthday brings a chance to share, how much I value your friendship rare. Happy wishes, true and bright, may your dreams take wondrous flight!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,37
"Boss, your structured approach to team management and strategic business development has established systems that enhance organizational efficiency. Your analytical problem-solving continues to provide valuable guidance for our department's operational objectives. Happy birthday.",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,38
